%SpO2	BPM	Pulse Amplitude	Current time
100	 83	  3	23:04:54
100	 82	  3	23:04:56
100	 80	  3	23:04:58
100	 80	  3	23:05:00
100	 80	  3	23:05:02
100	 82	  2	23:05:04
100	 78	  3	23:05:10
100	 78	  3	23:05:12
100	 76	  4	23:05:14
100	 76	  3	23:05:16
100	 75	  3	23:05:18
100	 74	  3	23:05:20
100	 74	  3	23:05:22
100	 74	  3	23:05:24
100	 74	  4	23:05:26
100	 73	  4	23:05:28
100	 73	  3	23:05:30
100	 76	  3	23:05:32
100	 77	  3	23:05:34
100	 77	  3	23:05:36
100	 77	  3	23:05:38
100	 78	  3	23:05:40
100	 79	  3	23:05:42
100	 77	  4	23:05:44
100	 76	  4	23:05:46
100	 76	  4	23:05:48
100	 75	  3	23:05:52
100	 76	  3	23:05:54
100	 77	  3	23:05:56
100	 78	  3	23:05:58
100	 79	  2	23:06:00
100	 80	  2	23:06:02
100	 82	  7	23:06:04
100	 84	  3	23:06:06
100	 86	  2	23:06:08
100	 86	  2	23:06:10
100	 86	  2	23:06:12
100	 86	  2	23:06:14
100	 87	  2	23:06:16
100	 87	  2	23:06:18
100	 86	  3	23:06:20
100	 86	  2	23:06:22
100	 84	  2	23:06:24
100	 83	  2	23:06:26
100	 84	  2	23:06:28
100	 84	  2	23:06:30
100	 83	  2	23:06:32
100	 82	  2	23:06:36
100	 83	  2	23:06:38
100	 83	  2	23:06:40
100	 82	  2	23:06:42
100	 82	  2	23:06:44
100	 83	  2	23:06:46
100	 82	  2	23:06:48
100	 81	  2	23:06:50
100	 80	  2	23:06:52
100	 80	  3	23:06:54
100	 78	  2	23:06:56
100	 76	  3	23:06:58
100	 76	  2	23:07:00
100	 78	  2	23:07:02
100	 80	  2	23:07:04
100	 80	  2	23:07:06
100	 79	  2	23:07:08
100	 79	  2	23:07:10
100	 80	  2	23:07:12
100	 81	  2	23:07:14
100	 81	  2	23:07:16
100	 80	  2	23:07:22
100	 79	  2	23:07:24
100	 78	  2	23:07:26
100	 77	  2	23:07:28
100	 78	  2	23:07:30
100	 79	  2	23:07:32
100	 79	  2	23:07:34
100	 79	  2	23:07:36
100	 79	  2	23:07:38
100	 79	  2	23:07:40
100	 77	  2	23:07:42
100	 76	  2	23:07:44
100	 76	  3	23:07:46
100	 79	  3	23:07:48
100	 78	  3	23:07:50
100	 77	  3	23:07:52
100	 76	  2	23:07:54
100	 77	  2	23:07:56
100	 78	  2	23:07:58
100	 76	  2	23:08:00
100	 73	  2	23:08:06
100	 74	  2	23:08:08
100	 73	  3	23:08:10
100	 72	  3	23:08:12
100	 71	  3	23:08:14
100	 69	  3	23:08:16
100	 70	  3	23:08:18
100	 70	  3	23:08:20
100	 72	  2	23:08:22
100	 70	  3	23:08:24
100	 73	  2	23:08:26
100	 74	  2	23:08:28
100	 73	  3	23:08:30
100	 74	  2	23:08:32
100	 74	  3	23:08:34
100	 76	  3	23:08:36
100	 76	  3	23:08:38
100	 75	  2	23:08:40
100	 75	  2	23:08:42
100	 76	  2	23:08:44
100	 76	  3	23:08:50
100	 75	  3	23:08:52
100	 74	  2	23:08:54
100	 76	  2	23:08:56
100	 76	  2	23:08:58
100	 76	  3	23:09:00
100	 75	  2	23:09:02
100	 75	  2	23:09:04
100	 78	  2	23:09:06
100	 84	  2	23:09:08
100	 83	  2	23:09:10
100	 81	  2	23:09:12
100	 80	  2	23:09:14
100	 82	  2	23:09:16
100	 85	  2	23:09:18
100	 83	  2	23:09:20
100	 83	  3	23:09:22
100	 80	  2	23:09:24
100	 81	  2	23:09:26
100	 81	  2	23:09:28
100	 77	  3	23:09:34
100	 77	  3	23:09:36
100	 77	  3	23:09:38
100	 77	  3	23:09:40
100	 79	  4	23:09:42
100	 82	  3	23:09:44
100	 82	  3	23:09:46
100	 82	  3	23:09:48
100	 82	  3	23:09:50
100	 84	  2	23:09:52
100	 85	  2	23:09:54
100	 85	  2	23:09:56
100	 85	  4	23:09:58
100	 88	  3	23:10:00
100	 92	  2	23:10:02
100	 91	  2	23:10:04
100	 91	  2	23:10:06
100	 92	  2	23:10:08
100	 89	  2	23:10:10
100	 88	  2	23:10:12
100	 85	  3	23:10:18
100	 87	  3	23:10:20
100	 89	  2	23:10:22
100	 89	  3	23:10:24
100	 91	  3	23:10:26
100	 90	  2	23:10:28
100	 87	  2	23:10:30
100	 84	  2	23:10:32
100	 83	  2	23:10:34
100	 84	  3	23:10:36
100	 80	  3	23:10:38
100	 80	  3	23:10:40
100	 79	  3	23:10:42
100	 78	  3	23:10:44
100	 78	  3	23:10:46
100	 77	  3	23:10:48
100	 75	  2	23:10:50
100	 76	  3	23:10:52
100	 79	  2	23:10:54
100	 80	  2	23:10:56
100	 79	  2	23:11:00
100	 81	  2	23:11:02
100	 82	  2	23:11:04
100	 82	  2	23:11:06
100	 82	  2	23:11:08
100	 83	  2	23:11:10
100	 83	  3	23:11:12
100	 85	  3	23:11:14
100	 88	  3	23:11:16
100	 90	  2	23:11:18
100	 88	  2	23:11:20
100	 89	  2	23:11:22
100	 87	  2	23:11:24
100	 86	  3	23:11:26
100	 88	  3	23:11:28
100	 90	  3	23:11:30
100	 89	  2	23:11:32
100	 89	  2	23:11:34
100	 90	  2	23:11:36
100	 93	  2	23:11:38
100	 92	  2	23:11:40
			23:11:42
100	 86	  3	23:11:44
100	 83	  2	23:11:46
100	 83	  2	23:11:48
100	 82	  2	23:11:50
100	 82	  2	23:11:52
100	 82	  2	23:11:54
100	 82	  2	23:11:56
100	 82	  2	23:11:58
100	 82	  2	23:12:00
100	 84	  2	23:12:02
100	 85	  2	23:12:04
100	 86	  2	23:12:06
100	 85	  2	23:12:08
100	 84	  2	23:12:10
100	 84	  2	23:12:12
100	 86	  2	23:12:14
100	 85	  2	23:12:16
100	 82	  2	23:12:18
100	 80	  2	23:12:20
100	 80	  2	23:12:22
100	 80	  2	23:12:24
100	 80	  3	23:12:28
100	 80	  3	23:12:30
100	 81	  2	23:12:32
100	 82	  2	23:12:34
100	 82	  2	23:12:36
100	 83	  2	23:12:38
100	 84	  2	23:12:40
100	 84	  3	23:12:42
100	 84	  2	23:12:44
100	 84	  2	23:12:46
100	 84	  2	23:12:48
100	 84	  2	23:12:50
100	 83	  3	23:12:52
100	 83	  3	23:12:54
100	 84	  3	23:12:56
100	 84	  2	23:12:58
100	 82	  2	23:13:00
100	 82	  2	23:13:02
100	 85	  2	23:13:04
100	 85	  2	23:13:06
100	 84	  2	23:13:08
100	 90	  2	23:13:12
100	 93	  3	23:13:14
100	 92	  3	23:13:16
100	 93	  3	23:13:18
100	 89	  3	23:13:20
100	 88	  3	23:13:22
100	 87	  3	23:13:24
100	 86	  3	23:13:26
